airline_sentiment,clean_tweet
negative,thanks but the bags are only % of what went wrong. hours from DCA to SAN when there were no weather issues is not acceptable
neutral,trying to chg ticket for staff member leaving org before she can fly.we are a nonprofit-can not you make an exception?
negative,How can I speak to a human? Need find bag delayed / . Website and # are telling me different things! Got hung up on x
negative,US . One water run of the planet's smallest water bottles. Applaud you looking out for the environment.
negative,"US . Nope, not getting off. hours in the plane. pilot announcements. One water run of the planet's smallest water bottles."
neutral,"US Wait, now a gate opened. Back we go. (Good, maybe we can get off.)"
negative,"US Uh oh, no gate. Now truck will come to us."
negative,"US returned to gate to get ""MEL"" sticker. Oh, look. We heard from pilot! No clue what an MEL sticker is. Anyone?"
negative,I spent an hour on the phone with them and got no where at all
negative,"US then lost ground power three different times. Not only grounded endlessly; now without air, lights, entertainment."
negative,"US pilot started the flight by announcing arrival into Gatwick, not Heathrow. Moments of concern for all aboard."
negative,US stated their issues as: no one around to close said door. More strange. Now we are not hearing from pilot for long periods.
negative,Seat D on Flight last night is the worst seat I have ever been in. No leg room!
negative,One of your workers was very rude with us. We can tell you in DM cuz it will not be any good publicity...
negative,"US stated their issues as: plane not moving as cargo door open on plane. Umm, ok. A little strange."
negative,my flight is delayed so I missed my connecting flight. Stuck in Philadelphia over night and no hotel voucher? Thanks for nothing
neutral,US stated their issues as: kept plane on ground to allow connecting passengers from other flight to board. Fine. Understand.
negative,"can I speak to a human with some compassion? I wrote an email to discuss my experience and received a generic ""sorry"" email back"
negative,"take a look at . All F seats filled, so someone upgraded their friend instead of following rules."
negative,back in line at terminal because phone guy could not help. One person in front of me min wait again?
negative,So you understand why I am resorting to Twitter: No help available at gate while this occurred or by phone afterward.
negative,going to miss my connection due to another tarmac delay - on US then - need a flight home today please!
negative,I am expecting % reimbursement for the unprofessional decisions with US on Feb. Check your very full complaint box.
negative,"what is the deal with flight from DCA to PHL? We boarded on time, left the gate a few mins Late Flight and are now sat on Tarmac?"
negative,stranding a student trying to get to Birmingham in CLT overnight w/o any help. You can do better than that. duffy
negative,"really need help asap, so please make it quick. Thx."
negative,well that is not going to help. I havebeen on hold over hrs &amp; my client wants his ff nbr in the record he is elite wAA
negative,hi. You lost my father's wheelchair. Every time we call we just get voicemail. My dad needs it to go home. Please DM me.
negative,"segments, / delayed. Gnv &gt; CTL . CTL &gt; JAN . JAN &gt; CTL . CTL &gt; GNV. My year off from flying with you guys was the way to go."
negative,is charging me $ to NOT take my flight. Lol. That is the last time I fly with them.
negative,yes. It says bag is being delivered. The local number says Not Open. Asked main # for cust service got hung up on.
negative,"Row , flight today if you are looking for specifics! I can run to Home Depot for the WD you if you need."
negative,seriously buy some WD for A operating flight from GEG to Phoenix. Every seat squeaks w every shift. Still on ground!
negative,"I would happily wait in the terminal near food, restrooms and non irritated passengers."
negative,why let passengers on board when there was an issue? Over an hour &amp; the pilot does not know when we will leave.
negative,anyone there to help? Still on hold...
negative,oh yay! Now gate agents decide not to deal with upgrade list and just bump up whoever is closest.
negative,site shows on-time but FlightAware site shows delayed. Trying to decide if I get out in this ice to catch FLT to PHX.
negative,is the absolute worst airline. women were inconvenienced due to maintenance issues. Stuck all over- no care given.
negative,"flights &amp; ""customer relations"" are extremely disappointing. Faced too many problems to type. apology=$ towards a flight. A JOKE"
negative,sitting here in PHL with all of your rude Customer Service Agents!
negative,- Can flight get the paperwork inputted?? We should have taken off an hour ..
negative,now on hold with customer care. Wonder if someone will pick up the phone before pm.
negative,when will FLT get a gate at DEN? Over minutes waiting with no information.
negative,lots of fun to be removed from top of a list and manually readded to the bottom thanks to club agents. Thanks a lot Asha at DCA.
negative,your delayed flight out of Wilmington made me miss my flight out of Charlotte. Figure out how to take off and arrive on time.
positive,Wow unbelievable how you treat your customers at Puerto Rico airport! d
negative,"usually ""sorry"" does not involve moving people to middle seats and removing them from upgrade lists. Guess that is a club perk."
negative,do not worry. Used own initiative and arriving much earlier than you planned for me
negative,nice try at the gate making traveler after traveler put bags in the size guide because you oversold. Sorry
negative,"horrible service, wrong plane arrived, many confirmed passengers could not get on flight we paid for due to lack of seats flight"
neutral,trying to book award travel leaving on red-eye Sunday night after midnight. Should I book the date in Sunday or Monday?
negative,"booked flight mnth ago, seat CONFIRMED, small plane arrived and was not allowed to board bcs no seat, horrible service"
negative,"Very frustrated, checked bag in Logan, was not given a luggage ticket,now luggage is lost &amp; no ownership from @USAirways"
positive,They were breathing very heavily. but were super helpful. Thank you.
negative,"Aye, and nothing to do with an automated system which does not work properly. Anyway, got through to somebody..."
positive,"okay, great. Thank you!"
negative,now my rebooked connection is delayed.
negative,I am in meetings in California and have no luggage!!
negative,And the number your agent gave me to call says you are not open? And the main number goes to a computer saying it is delivered?
negative,any way to get your call center to answer for a OneWorld award? Whenever try system says too busy and disconnect or endless hold
negative,Why did you put my luggage on the plane after mine? Then not deliver it to me like you said? Now show the claim as closed online?
negative,takes my money at once but then requires to days to process a refund? Why does your auto attendant hang up?
negative,how long for a reply
neutral,Bag policy says stroller OR car seat. We need to bring car seats and stroller. Should I just call for details?
positive,it was customer service like I have never seen before! Kudos to your organization.
negative,Who intentionally buys a flight with a hour layover? And what kind of airline would charge $ to fix it? Wow...
negative,how do I get a hold of customer service? I have called multiple times &amp; have been on hold for + mins only to have to hang up
negative,is there a # or a time bracket I can call to fix this problem?I have been attempting to fix this contact information issue for days
negative,I called the number and they said no one is available to take my call...guys this is insane
negative,. can not book a flight online or over the phone. Your customer service is usually great -- anything you can do to help?
negative,"/ was the worst experience I have ever had flying. Rude, delays, Cancelled Flightlations, lack of updates, and wasting our time"
neutral,"contact via FB messages, Twitter DM or text?"
negative,called x &amp; it says high call volumes call back. At $ a minute for international calls is there any way someone can contact me?
negative,grrrrrrrr. could not book a flight via calling either :(
negative,"delayed, connection missed, now extended layover how about a lounge pass for PHL."
negative,"Another twist in the plot. Took off from Miami, then had to return due to a unsecured cargo door. most stressful vacation ever."
negative,she will be reaching out to you! HARDWORKING mom just trying to do her best!
neutral,"great operation you guys are running. More mechanical issues, and now taping piece of plane together LOL"
neutral,thanks! Any idea when it will be resolved? I would like to purchase my ticket!
neutral,"Hi, can you attach my AA FF# LXA to reservation E KVM . Thansk!"
negative,When I check online it states status closed. What does this mean? As I have yet been able to reach a live person...
negative,Your system is affected by the weather?
positive,we called and were able to get rescheduled. Thank you for the quick responses today!!
negative,how do you get your aa frequent flyer number to appear in a USAir reservation?? Frustrating
negative,I am unable to check in for flight BOS-DCA and haven't heard if flight was Cancelled Flighted/rescheduled. Any updates??
negative,/ do not forget without your customers you would be out of business!
neutral,Hi guys! Are flights and still on time? The site and app are both down and I can not check. Thanks!
negative,hey since you f*% my wknd can I have day pass to admirals club or meal coupon or free coke? {blank stare}
negative,: You Make the Reservation; we will Make the Excuses!
negative,"I listed my baggage claim number. Have them call me, my number is on the ticket. I had to use Lady Speed Stick this morning."
negative,Another dead end. They only handle AA L&amp;F. They gave me the same failed # I already had. - - ( ) VM full.
negative,Houston Gate customer Service needs to treat people with respect. There are hardly people waiting!
positive,over the phone. I called the number and she picked up almost immediately.
neutral,"Yes, I made the flight and got my workout in too."
positive,&amp; DFW to PSP thank you!
negative,what is going on with your website &amp; mobile app??? Help!!!
negative,We have submitted the customer relations form and await your response!
negative,"That is the height of rudeness, and without question the worst customer service I have ever experienced."
negative,I NEED TO *SPEAK* TO SOMEBODY ABOUT A RESERVATION. As in talk to a human being. Yet your computer system puts the phone down on
neutral,Will you pick up your phone then?
negative,: Premier provider of missed connections!
negative,"I am sure the people are working very hard, but the systems should assist with IVR prompting, offering call backs, hold wait times"
negative,thanks for a subpar travel experience and it is not even over yet
positive,FYI your customer service rep Carol is an absolute delight. So pleasant to with with and rebooked me in lightning speed! Thanks!
negative,"is struggling. had me on hold for minutes, kicked me back to the start, then said they couldnt handle the amount of calls"
negative,no you call me.
negative,they told me to call back Late Flightr
negative,i will be Cancelled Flighting my us airways credit card and choosing other airlines after my experience this week.
neutral,"thank you, but it says the website is down"
negative,"I cant make it to airport, roads are to bad in DFW and no one is answering the phones and the website is down?How do I reschedule"
negative,Pilot pleads to let boarding begin for full flight while waiting for th flight attendant. Denied by mission control. Grrrr
negative,website isnt working and I cant talk to any on the phone to check flight status out of dfw. Roads are awful and cant get there
negative,rebooked for Tuesday. Arriving too Late Flight for on Tuesday to start the class. Cancelled Flightled the trip.
negative,If my flight is going to be Cancelled Flightled every week I might as well be in business class.
negative,DCA-BOS. Cancelled Flightled after making us wait over an hour. If I fly USAir every week can you upgrade my status proactively?
positive,DOMINICK L. at La Guardia airport NYC gives the absolute best customer service! Thanku! Checking in made easy!
negative,congrats on treating your customers the worst way possible. I know plenty of other ppl who have had horrible experience w you too
negative,"Going to Manchester, UK now I am going to miss a wedding. You going to rebook that too? Why have you chosen to Cancelled Flight my flight??"
negative,if you DM me we can take this offline. Would love more info on location of lost bags. Any help is appreciated.
negative,"thanx but this is not my first rodeo. Done &amp; done yesterday. No results or comm, unless u count status: bags lost &amp; claim filed."
negative,can you give me a # for US Air in philly to talk to a real person? Acarl com
negative,would have been nice to be offered in flight credit. Especially since I am staring at empty overhead room.
negative,or how about power outlets at your seat if you are gonna keep us siting here forever?
negative,I would appreciate a call regarding a HORRIBLE experience I had with a gate agent. Was on hold for min and then hung on me.
neutral,"I understand that, and when I am attempting to change the information so they are identical, it tells me to call a #"
negative,What is going on with flight from PHL to PHX? mins to estimated departure nobody has board and no update.
negative,but my bag is still missing
negative,Seriously doubt that as I am still sitting inside at the gate.
negative,"Customer service is dead. Last wk, flts delayed/Cancelled Flighted. Bags lost days. Last nt, flt delayed/Cancelled Flighted. No meal voucher?"
negative,"flight US from RIC DFW was Cancelled Flightled yesterday &amp; I was on hold w/ cust. service from - pm EST... hours, no answer..."
neutral,"taking off now. if I do not have a private jet to bora bora by the time I land, I am calling Oprah"
negative,"call the number listed? sure! by next Friday, I should get a real live person on the line"
negative,thanks for Cancelled Flighting flight today. Now missing required training. Not a happy customer.
negative,Strike Three!!! You guys suck!!!
negative,"days in a row, not buying it. I suggest you review your policy w respect to unaccompanied minors, should have had a seat on Sun"
negative,ok the app does not seem to be working. just use the mobile site...
negative,"Wife and I flew to Italy recently. Bought tickets via Finnair, flights operated by USAir. did not get dividend miles credited."
negative,"hour delay pho-mia, your airline is bad and getting worse, Foolish for american to merge. You treat your customers like crap"
negative,hours Late Flightr still no email. work supervisor needs documentation to approve last minute vacation day request
negative,hours on hold got rebooked on a new flight yesterday. I asked for a new itinerary/confirmation email to be sent
negative,here's to sitting on hold for hrs flight Cancelled Flighted and they disconnect twice.
negative,"Cancelled Flights flight Tampa to Philadelphia today due to runway conditions yet tonnes of USAirways flights landing there today, explain!"
negative,your phone system is not working at all I have been bumped again so now I am at times I need to get out of mco
negative,no my flight plans have been delayed until tuesday due to your computer crash
negative,from PHL to BGM. I cannot believe this has happened x in under two weeks!
negative,"""ma'am the doors close mins prior to departure"" ""but I was here mins before?!?"" laughter from the agents"
negative,"at : am after the plane left: ""why were there no agents and why were the doors closed so early?"""
negative,I called more than times to redeem mile points and can not get through. You advertise the miles but make them very hard to use!
negative,"me after arriving at : am for a flight scheduled to depart at : am. doors closed, no agents"
negative,I need to speak with a live person. I have had it with the recordings. I was told on Sat that we would have our luggage by yest.
positive,Thanks for the information!
neutral,I need to move a reservation due to weather in the middle part of the U.S. I would like to change departing airport
positive,could not be more thankful to your and crews on the ground and in the air today for help with a sick kid and a lost bag!
negative,thx for delayed checkin on noon flt to mia then forcing me to take Late Flightr flts which were delayed. Cincy to Miami in hrs!
negative,getting extremely frustrated w/ the phone/online service for merging frequent flyer miles.
negative,already spent mins today handling this for my minor child. Shame on you for treating a year old girl like this.
neutral,can someone help me with some travel issues today?
negative,"First the pilot was Late Flight, now it is maintenance. This is EXACTLY what happened two weeks ago. Unacceptable."
neutral,"There is nothing on my USAir CC at this point, but the email stated I would be charged. Thanks for the reply."
negative,I will NEVER fly us airways or american again and I will share this nightmare of a story to all the many others we know who fly
negative,"i have never been treated so poorly by an airline in my life, as a military family we do alot of flying.."
negative,- Burned a lot of time and cell minutes working through this flight issue - hopefully we fly home in the morning.
negative,you would rather a while plane get exposed to a nasty contagious virus then work wth me to get my flight changed to a Late Flightr date
neutral,&amp; what are your weight restrictions for carry on luggage? Can find measurements but not weight restrictions. TIA
negative,i worked with you and bought my own rental car when you failed to get me to the location i paid to get to and now....
negative,I have been on hold for minutes and counting.
negative,Discovered our flight was Cancelled Flightled yesterday at : PM - finally notified us our flight was Cancelled Flighted at AM
negative,I am appalled. My departure with you was all messed up and now on return i am supposed to fly alone with two very sick kids
negative,Will tweet all day until I get a live cust rep. I will make sure the world knows you do not care about your customers health.
neutral,. She just called to say it is a runway clearing problem of all things.
negative,Decided to be a good sport and give you guys another shot. Flight delayed. Again.
negative,on hold for hours yesterday w/o speaking to an agent on hold again w/ phones ~ mins let the bashing begin...
neutral,will all flights out of DFW be Cancelled Flightled today?
neutral,can you add my KTN to an existing reservation?
negative,please fix the very unproductive check in process at check in stations and people working them. What a total mess!!!!
negative,I will. Is it down or is just me?
neutral,I am supposed to fly through Dallas. Can you help me get a new itinerary?
positive,Your CLT baggage crew deserves a . I had to run to make my connection. And my bags still made it!
negative,you denied a mom her AM flight because she NEEDED her breast pumping parts on a full flight? Please FIX this ASAP!!
negative,"I relied on US Airways, and that was my mistake. Awful customer experience."
negative,Thank you. The website crashing for me.
negative,"On hold hrs after my flight was Cancelled Flightled &amp; ""Anthony"" was beyond rude and not helpful! they are weighing you down."
negative,"Will the nightmare ever end? Just found out our flight today is delayed due to ""ground handling delays affecting a prior flight."""
positive,is alright with me. Please give Scott F at BDL a bonus for excellent customer service
negative,": When you have Got to Get There, we have Got Excuses!"
neutral,"I am referring to email like this. Just tell people when they GET the upgrade. Otherwise, we know already."
negative,"first, luggage got stuck in a different city, now I get them back today &amp; one of your employees stole a pair of gloves from me!"
neutral,"I just reserved a flight with my companion certificate, where do I mail the certificate for verification???? THX!!!"
neutral,"Do your flight schedules to - from Quintana Roo, Mexico reflect their newly adopted time zone change to EST?"
negative,sure knows how to pamper customers they strand abroad.
neutral,: Maybe You Should Drive
negative,: We Suck -- And Pass the Savings on to Us!
neutral,thank you for the apology
negative,Can you help me with a refund. the phone guy could not help. The website will not let me submit a reply.
negative,We take Late Flight to a whole new level!
positive,a Oa thank you for that elaborate response
negative,You guys are screwing up my trip. Thanks for nothing.
neutral,Is your refund system down?
negative,Seriously. This is ridiculous. I should not have to wait a hour for my luggage after I land.
neutral,"that is not the case.. They sent me a email with a link, I will show you.."
negative,Why are we waiting min so far for our luggage???
negative,the only time I tweet is to tell you how horrible you are attendants are. Flight to LGA. I feel in jail
negative,forced sections and to check their carry on. would have packed differently to check my bag. Why even allow it?
negative,"Raleigh to Chicago and no upgrade. Must be flying AA 'the screw USAir Elite, after we bailed them out' Airline"
negative,"flt . + hrs Late Flight, baggage + more hr. Now I see they delivered my suitcase wet inside &amp; out."
negative,then she had to get her own hotel so ur agents did nothing to help and to top it off you sent her luggage on the wrong flight!!!
negative,"so she has to take a Late Flightr flight booked by her corporate (Disney) travel dept, as your agent offered little help"
negative,your computer system went down ok that is understandable but the agents make it worse by not helping her or anyone else
negative,"as the employee responsible for social media content, yes u probably do care however the actions from last night say otherwise"
negative,Flight gets in minutes early and all goodwill gone when bags are not here minutes Late Flightr
negative,"wow, awful customer service."
negative,merging with American will negatively affect your quality and integrity. I will no longer fly with you because of it.
negative,How many agents do you have working to handle the thousands of calls?
positive,YOU ARE THE BEST!!! YOU ARE AMAZING!!! FOLLOW ME PLEASE;)ddd
negative,flight is delayed so will miss connecting flight can you please help with alternate? Thank you.
neutral,", thank you for asking."
negative,three hour wait and counting waiting for reservations on the phone. Are you serious!?
positive,on a happy note our crew is wonderful. can not say enough great things about our pilot. he is doing all he can for us.
negative,What a mess caused by the computer systems. Flight in hours Late Flight and now no gate for us. Est min wait.
negative,"Storm or no storm, your customer service is a joke. hour wait time to speak to someone? I will never fly your airline again."
negative,you guys have my luggage in San Jose and were supposed to deliver it to my hotel hours ago!! Please contact me.
negative,I have flown figured worth of miles in my lifetime. This was my first and last ever flight on US Airways
negative,pls get me back to Tallahassee:( no one should ever have to be stranded in Gainesville for this longd
negative,your a miserable airline and your loss of revenue is a reflection of that. Go extinct. A merger only delays the inevitable
negative,What was the point of the merger? Why not just go out of business if your not turning a profit anymore?
negative,I love how just to give feedback to this link I have to fill out all my personal info on a form. You guys are the best :)
negative,Finally got ahold of an Agent after another hour. Thanks for the follow up. Recommend a call back feature.
negative,IS THIS RINGLING BROTHERS BARNUM AND BAILEY??? SHOULD I KEEP MY EYES PEELED FOR THE CLOWN CAR???
negative,not to mention the fact that my flight was delayed BECAUSE YOUR COMPUTERS WERE DOWN
negative,cannot add my frequent flyer number on your website. Can you help?
negative,how do I get off my plane and wait over an hour and a half to speak to someone about reFlight Booking Problems?
negative,"Please do not trivialize me. This is a joke, not a slow day or slow experience"
negative,And how do you only have agent at PHX customer service desk when an hour ago the line was over people long?
negative,sorry does not help. it is midnight PST. How in the hell am I still on hold after minutes on customer service line?
negative,Like I thought this was America. When did US Airways start operating under the rules of communist Russia?
negative,you guys should be nice and just give your routes to jet blue and southwest. At least they treat their customers properly.
negative,But nope! Apparently this is the way you guys do business! I guess I am flying southwest and her blue from now on.
negative,I keep thinking this is a massive practical joke and someone is gonna appear out of thin air and take me to Reno tonight.
negative,there is over people in line and only one agent!
negative,"And by the way, I am planning it while I have Ben waiting in the line at customer service in PHX...for over an hour!"
negative,"Already planning my local boycott for Washington, D.C. Area."
negative,I can legitimately say that I would have rather driven cross country than flown on US Airways.
negative,and despite the fact I see you answering all these people on twitter with mundane qs you refuse to answer me!
negative,"you guys are the worst airline I have ever dealt with. No notifications, no keeping customers updated. Terrible service"
negative,hey guys! Thanks for answering me and thanks for keeping me on hold for an hour on customer service at pm PST!
neutral,"any progress? Good luck, Patrick!"
positive,"he is fine, he really likes picking his own seat...."
negative,is the worst airline to ever travel with.
negative,"has to be the most lazy, inconsiderate, and unprofessional airline that I have ever traveled."
negative,Do you have any pride in your service? Any concerns for my wife and everyone else on that flight? Or you just do not care????!!!
negative,now U horrible people say you have no where for her to sleep?
negative,who is in charge of your company? My wife missed her connection to CA you sent her luggage on another flight
negative,the call hung up on me..
negative,got this message on your site to call about my flight - just gave up after being on hold for HOURS!
negative,lost a passenger today for not upholding their promise of excellent customer service!!!
negative,yet again your staff in Philadelphia failed to send my luggage home with me.
negative,ok my th try today....giving up at . am after minute hold time.
negative,Number or email? that is the purpose of sending you a tweet? @USAirways
positive,Thank you. I will do that next time!
negative,it still says that I can not check into my flight because the information is incorrect but everything is entered correctly
negative,this says it was estimated to leave an hour ago (it has not left yet) so thanks for this useful information.
negative,your customer service is horrendous. Between the way employees speak customers and their lack of care for problems with flights.
negative,had mom sit for hours waiting for a flight they ultimately Cancelled Flighted to give her a Tuesday morning flight...no compensation. Ugh
negative,does anyone from your airline know how to do their job?
negative,Has To Be THE WORST Airline Of All Timed!d!d!
negative,denied me standby bc of checked bag in cvg to Phl ..so I had to take delayed hrs Late Flightr...except u lost bag in cvg
negative,you reminded me today why I fly @SouthwestAir
positive,looks like our bag has been rescued. Thanks!
negative,.... I have been trying to get through to book a reservation and the system will not let me through. Day
negative,you are the worst.
negative,making folks run from gate C to A to B with NO EXPLANATION and zero carts to transfer elderly and handicap.
negative,have been waiting in an airplane for a total of hours to take off between flights today...this usually does not happen...
negative,not given option for new flight! Why can not we get a plane PHL-MIA? years as an this is worst travel experience ever
negative,does not let u do stand by on flight due to checked bag causing u to get in hours Late Flightr only to get to PHL &amp; bag did not make it
neutral,and are not as merged as the marketing departments would have us believe. Maybe or can get me home?
negative,"absolutely worst experience of my life at PHL. hrs, failed departure, gates, and ZERO communication or help!!"
negative,"as soon as I call customer service to speak to a representative, I am disconnected"
negative,"have been trying to call customer service since pm. After an hour, was disconnected. Spoke to no one"
negative,give us no information and an attitude.
neutral,Looking for some help to recover an item I left on an airplane this evening
negative,attendants at the gate. Enjoyed watching the other flight to our destination take off before having a horrible attendant give us
negative,"now has stranded is in without updating any of the departure boards, and once they Cancelled Flightled the flight there was no..."
negative,you are absolutely terrible at managing these delays... Been delayed and undelayed and delayed times now. AM office hours.
negative,"have the most rude, unreliable, horrible company with equally rude, unreliable and horrible employees. Stay tuned."
negative,"why does it take an hour to offload bags, especially after taking + min to get a jetway to get off plane after landing?"
negative,"flight Philly -&gt; Mia? Bwahahaha! Delayed + hrs, were in the air mins then turned back around."
negative,I am tired of paying for luggage &amp; less than stellar customer service
negative,have you heard about the debacle at DCA? What is happening with our New Orleans flight?
negative,I think it is a little weak sauce you have zero inflight entertainment for a hour flight from Salt Lake to Philadelphia
negative,"we flew out, through and into good weather. when we landed, another technical issue with gate. improve service or lose customers"
negative,"- is stranding your customers, not reFlight Booking Problems them, and then not answering the phone the way you treat Platinum members?"
negative,I made a reservation online but I did not receive any confirmation email. My bank said the transaction went through. Can u help?
negative,This is the worst flying experience of my life. Flight scheduled for departure at : pm from Phl. + hrs Late Flightr guess where I am?
neutral,Have you issued a Memphis travel advisory for tomorrow? Winter weather coming through now.
negative,any update on this flight?it is more than three hours delayed. Thank you.
negative,"you should partner w/ a different hotel in PHL, the clarion is proving to be very difficult &amp; not customer friendly"
negative,truly dissapointed when our flight is delayed and going to miss connection that we are expected to rebook our own flight????????
negative,"- you kind of screwed my day up, at least it was outbound, but you did save it by stranding me in a @MarriottRewards"
negative,nightmare trying to get to Costa Rica from PHL today. Stuck in Miami and no one answers at number.
negative,Ummmm I think US Air's computers for hours - my flight is hours Late Flight.
negative,"comedy of errors continues..."" We can not get into our gate, there is a broken down truck in the way"""
negative,Instructions say to CALL. I am just doing what it said to do.
positive,Since I am a loyal USAir customer I am sure that they will make this up to me-right now I want to get home &amp; back to work.
negative,The fact we did not get notified hindered our ability to look for alternate flights before they were snapped up.
negative,you are really fudgin up with all these delays d!
negative,"Just discovered that they billed us $ for the rescheduled flight, which cost me a second day of lost work."
negative,Today USAir Cancelled Flightled our rescheduled flight &amp; did not notify us except possibly to our home phone-not helpful since we are in CO
negative,and I can not get through on any phones
negative,Thanks for ruining my last night of vacation because I have to worry about my flight because y'all do not have record of it
positive,"- Janet &amp; my DEN-PHL flight Cancelled Flightled Saturday, USAIR rescheduled automatically &amp; notified us by email at no additional cost."
negative,"after hrs of trying to reach real human, finally did and been on hold for : hrs for out of synch reservation."
negative,idiots took our plane &amp; gave it to someone else. Fudgers!!!! Flight from Philly to Orlando
negative,Missed flight. Rude CSR. No flight till Tuesday. No answer on twitter. Help me out with a RT you are my only hope.
negative,"delayed . hours trying to get to give us an update, please???"
negative,always nice when a customer service manager threatens customers standing in his understaffed lines for the last hour
negative,- just passed the hour mark you for THIS call. Gave up after . this morning.
negative,"What is with your lost &amp; found. My wife lost her phone in Philly, &amp; followed your web instructions to call an #. No answer."
neutral,"Can you help with a seat assignment? people flight , PHX to HNL, seats are split up. Anything you can do will be great."
negative,- have dinner reservations in a few minutes -- and I have been trying to get through to you since BREAKFAST.
negative,"CLT, please send more than one cust svc rep to your cust svc counter to assist a line out the door."
negative,help! I have been on hold for almost two hours. Trying get home.
negative,"""please call Late Flightr"" is not acceptable - but neither is being on hold for + hrs"
negative,been sitting at gate for over min on us ! What gives???
negative,- I would not need to wait on hold for + hours if your website worked correctly - please respond!
negative,"- how do I get an answer to my question? Holding for hours , after x getting your message just said you are not taking calls."
negative,why the hell did you overbook a plane when you knew people actually had seat assignments. poorplanning
negative,"worst service at Reagan Int. I rarely post about a company or service, but I am so annoyed. Not weather reLate Flightdaincompetence."
negative,- been on hold for more than . hours - this after not getting through after hours on hold this morning with no answer - help!
negative,So far....my phone wait time is longer than coverage.
negative,"Chairman Preferred with , lifetime miles. What is my US Air reward, no upgrades on as usual."
neutral,Flight operated by (N MA) arrives at following flight from Reagan National
negative,minute delay for take off and minute wait for checked bags? Really?
negative,I have been on hold for minutes. This is terrible customer service. You messed up my reservation!
negative,why will not you help me get my luggage back? I am a teen trying to change the world in DC
negative,Southern Hospitality luggage delivery service from SAV is AWFUL. Great delivering empty promises but not luggage &amp;waiting
negative,st flight with U.S. Air Plane had mechanical issues. Wait minutes for help from customer service. No help from management
negative,"flight missed due to mech issue. No food voucher, transported to different airport, no rental reimbursement d!"
negative,we do not control your stupidity in not having room to have a plane come in. You better not mess with us now.
negative,Interesting you forward compliments but never complaints! World's worst airline
negative,"- flights AND delayed for ""crew availability?"" What gives? I am getting to TPA . hrs past my scheduled arrival."
negative,"how is it that the airport (DCA) and the airline mess up our flights, but also will not cover our hotel costs? At DCA for hrs..."
negative,in line for min after mechanical issues caused me to miss my flight. rep for upset people.
positive,the entire flight crew on flight from BOS to PHL is doing a wonderful job and making this experience not totally suck. d
negative,Can someone please answer my call. I have been waaaaaaiting!!!
negative,is holding my luggage hostage from flight
positive,"major issues getting out of Boston, but your crew has been exceptional. let us see how things roll out in Philly."
negative,"I have been trying to set up my phone interview for days, and hoping the position will not be filled because the link does not work. @USAirways"
neutral,do you have an email??
negative,"- had to call to find out I was re-booked tomorrow, why ask for my number an email for day of info"
negative,"US AIRWAYS do not CARE FOR CUSTOMERS. Worst experience today with US airways.. Myself, wife and toddler"
positive,thanks to the whole team for an on-time flight despite inclement weather
negative,"your rude staff said"" I do not care that we are out of market place food you are going on vacation and I have to work"" nice huh"
neutral,what happens to frequent flyer miles earned once merger is complete with AA?
negative,got off stand by list and on earlier flight to DCA. What is the status of my checked bag? Was supposed to be on thanks
negative,why does this flight keep getting delayed Late Flightr and Late Flightr?
neutral,any idea when flight to Miami will leave for a second time?
negative,I have contacted them but only got an automated response that will not give me the code.
neutral,"Yea, they will give you cents on the dollar!"
negative,Really a letter that says you will discuss serving drunks more drinks that does not help the current situation
negative,so does that mean that you might care about my sister be assaulted on one of your flights
negative,on top of that a dozen ppl missed connections and you have ONE person at customer service? Abysmal!
positive,it is not often that an airline is so easy to work with. I needed to change my flight time and the attendants at MKE made my day!
negative,how is it possible that someone is drunk they bring a wheelchair for them but you keep serving them
negative,"your service at PHL is abysmal. An hour on the runway waiting for a gate, no information anywhere, missed my connection abysmal!"
negative,worst customer service ever how can you let people be assaulted on your flights and do nothing about it
negative,Not providing pilots for your flights: is this a new feature of your merger?
neutral,do you know what flight the pilots for are coming in on? Thanks.
negative,so I guess you are ok with people being sexually assaulted on your flights nice customer service
negative,PLEASE HELP need our plane to wait to go to on Tarmac over an hr baggage took and still not here thru customs
negative,USAIR has returned to PHL due to issues with the fire detectors. What happens next?
negative,"ur specialist said they would talk to the stewardess about not serving drunks drinks, REALLY how does that help"
negative,"what is wrong in Boston? Why are only your plains not leaving tonight? Son needs to get back to state college, PA"
negative,over two hours on hold to talk to an agent..then it disconnects me. been trying for two days! Wtf! Hire some CSRs u make $ now
negative,so you do not have a pilot now for a for at least another hour. Why on earth would you board the plane? Makes no sense!
negative,flight . Please get us a flight plan already. How is this an issue in st century?
negative,"when the inbound flight arrives after the scheduled outbound departure, and still ""on time"""
negative,thanks for three Cancelled Flightled flight and making us go from raleigh to charlote to lexington to philly. istead of raleigh to philly
negative,"rant cont... To top it all off, rescheduled flight to TPA at : is already delayed. How can they be that bad?"
negative,Can you advise on what is happening with departure delays from CLT?
neutral,Can you provide me with info about checking strollers and car seats? Costs? Restrictions? Need to bring seats stroller.
negative,delay and mechanical issues on both my weekend flights. Ridiculous. Will tweet as long as we are delayed
positive,Another great flight . Thanks for showing my dad wonderful customer service.
negative,What is happening? Have been sitting in Philly for hours. Pls take care of Flight to Chicago. At least least us know! Flight
negative,can you pm me w answer if flt to is still on time. Been on ground over an hr w no gate. Need help. Pls
